State,Certified,Revoked,Surrendered,Suspended,All
Alabama,26,0,9,12,47
Alaska,2,0,0,0,2
Arizona,207,0,41,13,261
Arkansas,104,0,42,6,152
California,4023,3,857,212,5095
Colorado,496,0,170,71,737
Connecticut,134,0,34,6,174
Delaware,34,0,6,4,44
District of Columbia,7,0,3,10,20
Florida,384,0,130,101,615
Georgia,294,0,78,43,415
Hawaii,100,0,54,22,176
Idaho,309,0,87,47,443
Illinois,655,0,262,40,957
Indiana,940,0,531,43,1514
Iowa,1019,2,269,71,1361
Kansas,211,1,71,12,295
Kentucky,250,0,74,58,382
Louisiana,35,0,10,5,50
Maine,530,3,121,40,694
Maryland,204,0,28,28,260
Massachusetts,262,0,72,26,360
Michigan,759,0,254,77,1090
Minnesota,912,6,267,73,1258
Mississippi,28,0,14,4,46
Missouri,497,0,216,60,773
Montana,331,0,76,7,414
Nebraska,345,0,135,40,520
Nevada,72,0,48,9,129
New Hampshire,137,1,28,22,188
New Jersey,394,0,83,42,519
New Mexico,104,0,103,14,221
New York,1882,0,428,252,2562
North Carolina,560,0,270,82,912
North Dakota,189,0,109,29,327
Ohio,1007,1,286,72,1366
Oklahoma,76,0,19,10,105
Oregon,342,0,89,29,460
Pennsylvania,1634,1,372,59,2066
Puerto Rico,5,0,3,5,13
Rhode Island,51,0,7,0,58
South Carolina,101,0,34,20,155
South Dakota,136,0,44,19,199
Tennessee,79,0,50,27,156
Texas,710,2,246,61,1019
Utah,150,0,43,9,202
Vermont,869,0,184,36,1089
Virginia,272,0,128,35,435
Washington,121,0,30,4,155
West Virginia,46,0,29,8,83
Wisconsin,1743,1,505,186,2435
Wyoming,76,0,19,7,102
All,23854,21,7068,2168,33111
